,0
X1_q3,0.26232412
H5,0.118315764
H6,0.07581215
X1_min,0.064024806
X1_max,0.06396498
H3,0.05820082
H4,0.046913568
H2,0.04257288
X1_q1,0.03962401
X1_kurtosis,0.026966061
H1,0.026293019
H7,0.013804637
X1_skew,0.012623115
H19,0.009575613
X1_mean,0.009538515
H43,0.008582418
H45,0.008003716
H22,0.0076915086
H30,0.007315724
H20,0.006073801
X1_std,0.0057429457
X1_median,0.005732754
H14,0.0046975655
H31,0.0044060233
H44,0.0042031477
H29,0.004081785
H15,0.0039474517
H9,0.0037118904
H18,0.0034253618
H21,0.0031955391
H27,0.0030646718
H40,0.003012316
H28,0.0027849372
H39,0.002780995
H23,0.002767168
H32,0.0027518938
H42,0.0026136418
H41,0.0024614546
H37,0.0021783086
H38,0.0021210543
H35,0.0020771318
H26,0.0020429187
H17,0.0019835616
H24,0.0017897837
H36,0.0017335673
H33,0.0017259165
H34,0.0016301451
H25,0.0015614092
H8,0.0014332694
H13,0.0013899829
H16,0.0013525488
H10,0.0013362874
H12,0.0010992693
H11,0.0009420571
X1_var,0.0
X1_q2,0.0
